Index,Well.API,Field,Operator,Spud.Year,Max_Gas,Lat_Len,Vert_Len,Fluid,Proppant,ShalePlay
1,5.04513E+12,Grand Valley,Caerus Piceance Llc,2008,99971,1507,6950,15904,492500,Mancos
2,5.04513E+12,Grand Valley,Berry Petroleum Company Llc,2008,124446,1707,8265,48520,458360,Mancos
3,5.04514E+12,Mamm Creek,Ursa Operating Company Llc,2012,132394,1644,6039,89263,1915300,Mancos
4,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,121659,1646,6067,88929,1849000,Mancos
5,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,120910,1645,6048,91243,2829500,Mancos
6,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,85390,1647,6170,89327,1921800,Mancos
7,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,128147,1661,6017,91335,2128900,Mancos
8,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,135063,1627,6188,93829,2617400,Mancos
9,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,106701,1644,6238,91099,2289900,Mancos
10,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,128498,1640,6302,89617,1898300,Mancos
11,5.04515E+12,Mamm Creek,Ursa Operating Company Llc,2012,121025,1619,6221,89907,2262600,Mancos
12,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,116926,1678,5106,13508,380881,Mancos
13,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,132790,1090,5600,8854,246651,Mancos
14,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,190277,2123,4516,27528,1374673,Mancos
15,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,96854,1221,4938,12500,353742,Mancos
16,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,134765,2083,4393,14682,380000,Mancos
17,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,66076,2086,3956,16672,440500,Mancos
18,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,173352,2100,4150,7231,185900,Mancos
19,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,105836,2071,3897,9229,241600,Mancos
20,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,165505,2097,4223,17342,450700,Mancos
21,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,103040,2103,4363,8009,209300,Mancos
22,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,223064,2029,4207,17381,409426,Mancos
23,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,251979,2037,4218,7464,194000,Mancos
24,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,81689,2079,4247,16601,432220,Mancos
25,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,142820,1559,4767,8926,240900,Mancos
26,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,90870,1821,4190,13759,359100,Mancos
27,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,100692,2121,3884,8171,213900,Mancos
28,5.04515E+12,Skinner Ridge,Chevron Usa Inc,2008,130963,2118,4195,57941,1269020,Mancos
29,5.04516E+12,Parachute,Tep Rocky Mountain Llc,2012,115662,1561,5304,20253,707200,Mancos
30,5.04516E+12,Mamm Creek,Ursa Operating Company Llc,2012,114190,1639,6099,89980,1914500,Mancos
31,5.04516E+12,Mamm Creek,Ursa Operating Company Llc,2012,147157,1665,6193,86468,1858700,Mancos
32,5.04516E+12,Mamm Creek,Ursa Operating Company Llc,2012,142291,1696,6233,90408,1918400,Mancos
33,5.04516E+12,Mamm Creek,Ursa Operating Company Llc,2012,136728,1628,6070,89142,2367400,Mancos
34,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,75873,2132,3883,36665,958510,Mancos
35,5.04516E+12,Rulison,Laramie Energy Llc,2008,236177,1807,7027,94547,1913249,Mancos
36,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2009,91631,2230,3679,29866,784334,Mancos
37,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2010,325472,2276,6601,55384,1776961,Mancos
38,5.04516E+12,Grand Valley,Tep Rocky Mountain Llc,2010,253078,2194,6801,69680,199170,Mancos
39,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2010,313752,2357,6557,50794,1780588,Mancos
40,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2010,235835,2349,6720,61308,1765132,Mancos
41,5.04516E+12,Mamm Creek,Laramie Energy Llc,2008,301255,1956,7726,111286,2225600,Mancos
42,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2011,203689,1445,6694,22636,863100,Mancos
43,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2011,250516,1769,6490,29623,1155075,Mancos
44,5.04516E+12,Trail Ridge,Tep Rocky Mountain Llc,2011,311923,2010,6105,32675,1286800,Mancos
45,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,96725,2199,3805,33789,879600,Mancos
46,5.04516E+12,Grand Valley,Laramie Energy Llc,2008,107233,1649,7020,246,85500,Mancos
47,5.04516E+12,Grand Valley,Laramie Energy Llc,2012,336408,1441,5431,40027,788669,Mancos
48,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,111681,2117,4247,35502,919752,Mancos
49,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,181153,2176,4009,42525,1090600,Mancos
50,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,211537,1940,4110,33848,876978,Mancos
51,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,182184,1932,4143,32295,840370,Mancos
52,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,94130,1825,4496,31224,806953,Mancos
53,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,65013,2043,3913,31920,829985,Mancos
54,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,77520,1996,4236,35876,876978,Mancos
55,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,79791,1758,4377,22073,575420,Mancos
56,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,83698,2072,3946,37287,982824,Mancos
57,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,112875,1904,4530,31675,827495,Mancos
58,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,36755,2046,4334,38440,996758,Mancos
59,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,47269,2010,4096,35825,984642,Mancos
60,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,166467,1997,4079,26437,702803,Mancos
61,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,74929,2012,4023,37784,992268,Mancos
62,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,109692,2119,4316,34412,907408,Mancos
63,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,153857,1998,4007,33018,860385,Mancos
64,5.04516E+12,Skinner Ridge,Chevron Usa Inc,2008,10618,2055,4187,36579,945854,Mancos
65,5.04516E+12,Mamm Creek,Laramie Energy Llc,2008,346107,1927,7940,114803,1997060,Mancos
66,5.04516E+12,Mamm Creek,Laramie Energy Llc,2008,267802,1916,8197,86354,1577330,Mancos
67,5.04516E+12,Mamm Creek,Laramie Energy Llc,2009,282307,1017,8070,88138,1636730,Mancos
68,5.04517E+12,Kokopelli,Tep Rocky Mountain Llc,2011,152383,2213,4815,50974,1198500,Mancos
69,5.04517E+12,Skinner Ridge,Chevron Usa Inc,2009,82102,2051,3881,26147,672600,Mancos
70,5.04517E+12,Skinner Ridge,Chevron Usa Inc,2009,88624,2094,3758,25210,633200,Mancos
